Loading data...
Computing updates...
Compiling functions...
Training...
Epoch 83 took 74.6501939297, cost = 0.0400252696127, error = 0.211156842569
Epoch 84 took 74.5858719349, cost = 0.0409571789205, error = 0.212847273262
Epoch 85 took 74.6563520432, cost = 0.0413650292903, error = 0.212626782302
Epoch 86 took 74.6264688969, cost = 0.0401218831539, error = 0.20983389681
Epoch 87 took 74.6401429176, cost = 0.0386628992856, error = 0.207041011319
Epoch 88 took 74.6057291031, cost = 0.0392040088773, error = 0.207334999265
Epoch 89 took 74.772726059, cost = 0.0399152822793, error = 0.204248125827
Epoch 90 took 74.8106439114, cost = 0.0375492274761, error = 0.199691312656
Epoch 91 took 74.8497979641, cost = 0.0392789859325, error = 0.208363957078
Epoch 92 took 74.8011021614, cost = 0.0400746371597, error = 0.206306041452
Epoch 93 took 74.833096981, cost = 0.0390015635639, error = 0.200279288549
Epoch 94 took 74.7191240788, cost = 0.0380761567503, error = 0.201969719242
Epoch 95 took 74.8243279457, cost = 0.0393767785281, error = 0.205203586653
Epoch 96 took 74.8230099678, cost = 0.0391309317201, error = 0.201455240335
Epoch 97 took 74.8619680405, cost = 0.0400432478637, error = 0.208878435984
Epoch 98 took 74.811177969, cost = 0.0392453931272, error = 0.203292665001
Epoch 99 took 74.8198680878, cost = 0.0398077815771, error = 0.206232544466
Epoch 100 took 74.7887098789, cost = 0.0401771999896, error = 0.206085550492
Epoch 101 took 74.8265428543, cost = 0.0409163348377, error = 0.202778186094
Epoch 102 took 74.7980079651, cost = 0.0392639860511, error = 0.201602234308
Epoch 103 took 74.7198801041, cost = 0.0393672212958, error = 0.200279288549
Epoch 104 took 74.6609618664, cost = 0.039946321398, error = 0.205497574599
Epoch 105 took 74.6870160103, cost = 0.0404577087611, error = 0.20395413788
Epoch 106 took 74.6712529659, cost = 0.0402134675533, error = 0.202851683081
Epoch 107 took 74.6559100151, cost = 0.0406110771, error = 0.206453035426
Epoch 108 took 74.6563360691, cost = 0.0403361432254, error = 0.201822725268
Epoch 109 took 74.6460001469, cost = 0.0417981278151, error = 0.209172423931
Epoch 110 took 74.6033389568, cost = 0.0403252877295, error = 0.202631192121
Epoch 111 took 74.6520619392, cost = 0.0402117967606, error = 0.201308246362
Epoch 112 took 74.6104569435, cost = 0.0400249082595, error = 0.20483610172
Epoch 113 took 74.6677138805, cost = 0.0408937577158, error = 0.205424077613
Epoch 114 took 74.7799282074, cost = 0.0418376494199, error = 0.211450830516
Epoch 115 took 74.8243691921, cost = 0.0407290868461, error = 0.206820520359
Epoch 116 took 74.8044829369, cost = 0.0425821524113, error = 0.208290460091
Epoch 117 took 74.8482041359, cost = 0.0406469739974, error = 0.20461561076
Epoch 118 took 74.8077619076, cost = 0.0420280192047, error = 0.205718065559
Epoch 119 took 74.826061964, cost = 0.0411608498544, error = 0.206232544466
Epoch 120 took 74.8011119366, cost = 0.0411594323814, error = 0.203366161987
Epoch 121 took 74.8333749771, cost = 0.0405311454087, error = 0.201749228282
Epoch 122 took 74.7652390003, cost = 0.0404639784247, error = 0.201896222255
Epoch 123 took 74.7272489071, cost = 0.0404061581939, error = 0.198882845803
Epoch 124 took 74.8031759262, cost = 0.0416986960918, error = 0.202043216228
Epoch 125 took 74.8397459984, cost = 0.0415040627122, error = 0.204689107747
Epoch 126 took 74.8180332184, cost = 0.0402515809983, error = 0.202925180068
Epoch 127 took 74.7885479927, cost = 0.0426215417683, error = 0.205938556519
Epoch 128 took 74.7903540134, cost = 0.04217033647, error = 0.203219168014
Epoch 129 took 74.641903162, cost = 0.0417595040053, error = 0.206306041452
Epoch 130 took 74.6364738941, cost = 0.0414730757475, error = 0.200352785536
Epoch 131 took 74.6738979816, cost = 0.0416264180094, error = 0.202557695134
Epoch 132 took 74.6455478668, cost = 0.0424463246018, error = 0.201455240335
Epoch 133 took 74.7718341351, cost = 0.0418567322195, error = 0.202925180068
Epoch 134 took 74.8110089302, cost = 0.0406532417983, error = 0.19829486991
Epoch 135 took 74.8546099663, cost = 0.0418908651918, error = 0.200279288549
Epoch 136 took 74.8064160347, cost = 0.0417779460549, error = 0.201675731295
Epoch 137 took 74.8421499729, cost = 0.0409131851047, error = 0.201087755402
Epoch 138 took 74.8162631989, cost = 0.0418690741062, error = 0.204101131854
Epoch 139 took 74.8432290554, cost = 0.0414216872305, error = 0.204027634867
Epoch 140 took 74.8134570122, cost = 0.0412788745016, error = 0.201455240335
Epoch 141 took 74.8354768753, cost = 0.0409149993211, error = 0.199838306629
Epoch 142 took 74.8231430054, cost = 0.0403185524046, error = 0.199691312656
Epoch 143 took 74.7174229622, cost = 0.041999772191, error = 0.202778186094
